N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
757;7.2.2021;Real Betis;Benito Villamarín;3-2592?;1 (1-1);59;z;Dembélé;;;LaLiga Santander 2020-21 Jornada 22;;;;33;2020/21578?
18;19/11/2005;Real Madrid;Santiago Bernabéu;3-021?;-;-;-;-;1 (1-0);15;La Liga 2005/06 Jornada 12; 70' Iniesta;;Eto'o;69;2005/0613?
46;22/10/2006;Real Madrid;Santiago Bernabéu;0-250?;-;-;-;-;-;-;La Liga 2006/07 Jornada 7;;Iker Casillas;-;90;2006/0739?
57;10/03/2007;Real Madrid;Camp Nou;3-361?;3;11, 28, 90;z, r, z;Eto'o, Ronaldinho;-;-;La Liga 2006/07 Jornada 26;;;;90;2006/0739?
108;07/05/2008;Real Madrid;Santiago Bernabéu;1-4113?;;;-;;1 (1-4);87;La Liga 2007/08 Jornada 36;;;;;2007/0876?
129;13/12/2008;Real Madrid;Camp Nou;2-0135?;1;90+1;z;;-;-;Liga BBVA 2008/09 Jornada 15;;;;;2008/09117?
157;02/05/2009;Real Madrid;Santiago Bernabéu;6-2151?;2 (3-1, 5-2);36, 75;z, z;Xavi (2);1 (1-1);18;Liga BBVA 2008/09 Jornada 34;;;Henry;;2008/09117?
179;29/11/2009;Real Madrid;Camp Nou;1-0167?;;;-;;-;-;Liga BBVA 2009/10 Jornada 12;;;;;2009/10156?
205;10/04/2010;Real Madrid;Santiago Bernabéu;2-0182?;1 (1-0);33;d;Xavi;-;-;Liga BBVA 2009/10 Jornada 31;;;;;2009/10156?
233;29/11/2010;Real Madrid;Camp Nou;5-0200?;;;-;;2;55, 58;Liga BBVA 2010/11 Jornada 13;;;Villa (2);;2010/11188?
261;16/04/2011;Real Madrid;Santiago Bernabéu;1-1211?;1 (1-0);53;p;Alves;-;-;Liga BBVA 2010/11 Jornada 32;;;;;2010/11188?
262;20/04/2011;Real Madrid;Mestalla;0-1212?;-;-;-;-;-;-;Copa del Rey 2010/11 Final;;;;120;2010/11188?
264;27/04/2011;Real Madrid;Santiago Bernabéu;2-0213?;2;76, 87;z, p;Afellay, Busquets;-;-;Liga de Campeones 2010/11 SF Ida; 89';;;;2010/11188?
266;03/05/2011;Real Madrid;Camp Nou;1-1215?;;;-;;-;-;Liga de Campeones 2010/11 SF Vuelta;;;;;2010/11188?
270;14/08/2011;Real Madrid;Santiago Bernabéu;2-2217?;1 (2-1);45;z;;1;36;Supercopa de España 2011 Ida;;;Villa;;2011/12218?
271;17/08/2011;Real Madrid;Camp Nou;3-2219?;2 (2-1, 3-2);45, 87;d, z;Piqué, Adriano;1;15;Supercopa de España 2011 Vuelta;;;Iniesta;;2011/12218?
293;10/12/2011;Real Madrid;Santiago Bernabéu;3-1236?;;;-;;1;30;Liga BBVA 2011/12 Jornada 16;;;;;2011/12218?
300;18/01/2012;Real Madrid;Santiago Bernabéu;2-1240?;;;-;;1;77;Copa del Rey 2011/12 Cuartos Ida;;;;;2011/12218?
302;25/01/2012;Real Madrid;Camp Nou;2-2242?;;;-;;1;43;Copa del Rey 2011/12 Cuartos Vuelta;;;Pedro;;2011/12218?
323;21/04/2012;Real Madrid;Camp Nou;1-2259?;;;-;;-;-;Liga BBVA 2011/12 Jornada 35;;Iker Casillas;;;2011/12218?
331;23/08/2012;Real Madrid;Camp Nou;3-2264?;1 (2-1);70;p;;-;-;Supercopa de España 2012 Ida;;;;;2012/13263?
