N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
464;14/03/2015;S.D. Eibar;Ipurúa;2-0375?;2;31, 55;p, c;Rakitic;;-;Liga BBVA 2014/15 Jornada 27;;;;90;2014/15341?
517;06/03/2016;S.D. Eibar;Ipurúa;4-0;2 (2-0, 3-0);41, 76;z, p;Munir;;-;Liga BBVA 2015/16 Jornada 28;;;;90;2015/16391?
557;21/01/2017;S.D. Eibar;Ipurúa;4-0447?;1 (2-0);50;z;Luis Suárez;;;LaLiga Santander 2016/17 Jornada 19;;;;90;2016/17424?
582;21/05/2017;S.D. Eibar;Camp Nou;4-2472?;2 (3-2, 4-2);76, 90+2;p, d;;;;LaLiga Santander 2016/17 Jornada 38;;;;90;2016/17424?
591;19/09/2017;S.D. Eibar;Camp Nou;6-1481?;4 (1-0, 4-1, 5-1, 6-1);20, 59, 62, 87;p, z (3);Busquets, Paulinho, Aleix Vidal;;;LaLiga Santander 2017-18 Jornada 5;;;;90;2017/18475?
620;17/02/2018;S.D. Eibar;Ipurúa;2-0;;;;;1 (1-0);16;LaLiga Santander 2017-18 Jornada 24;;;Luis Suárez;90;2017/18475?
659;13/01/2019;S.D. Eibar;Camp Nou;3-0;1 (2-0);53;z;Luis Suárez;-;-;LaLiga Santander 2018-19 Jornada 19;-;;-;90;2018/19512?
686;19/05/2019;S.D. Eibar;Ipurúa;02-feb;2;31, 32;z (2);Arturo Vidal, Rakitic;-;-;LaLiga Santander 2018-19 Jornada 38;-;;-;90;2018/19512?
693;19/10/2019;S.D. Eibar;Ipurúa;3-0;1 (2-0);58;z;Griezmann;1;66;LaLiga Santander 2019-20 Jornada 9;-;;Luis Suárez;90;2019/20544?
715;22/02/2020;S.D. Eibar;Camp Nou;5-0566?;4 (1-0, 2-0, 3-0, 4-0);14, 37, 40, 87;z (2), r (2);Rakiti?, Arturo Vidal;;;LaLiga Santander 2019-20 Jornada 25;-;;;90;2019/20544?
339;02/10/2012;S.L. Benfica;Da Luz;2-0270?;;;-;;2;6, 56;Liga de Campeones 2012/13 J2 FG;;;;;2012/13263?
351;05/12/2012;S.L. Benfica;Camp Nou;0-0277?;;;-;;-;-;Liga de Campeones 2012/13 J6 FG; 57';;;;2012/13263?
295;18/12/2011;Santos F.C.;Yokohama;4-0;2 (1-0, 4-0);17, 82;z (2);Xavi, Dani Alves;-;-;Mundial de Clubes 2011 Final;;;;;2011/12218?
21;11/12/2005;Sevilla F. C.;Camp Nou;2-124?;-;-;-;-;-;-;La Liga 2005/06 Jornada 15; 13'  62' Larsson;;-;62;2005/0613?
37;25/08/2006;Sevilla F. C.;Louis II;0-341?;-;;-;-;-;-;Supercopa de Europa 2006;;;-;90;2006/0739?
44;15/10/2006;Sevilla F. C.;Camp Nou;3-148?;1;81;d;Xavi;-;-;La Liga 2006/07 Jornada 6;;;;90;2006/0739?
55;03/03/2007;Sevilla F. C.;Sánchez Pizjuán;1-259?;;;-;;;-;La Liga 2006/07 Jornada 25;;;;70;2006/0739?
74;22/09/2007;Sevilla F. C.;Camp Nou;2-179?;2;74, 80;z, p;Henry;-;-;La Liga 2007/08 Jornada 4;;;;;2007/0876?
96;09/02/2008;Sevilla F. C.;Sánchez Pizjuán;1-1101?;;;-;;1;76;La Liga 2007/08 Jornada 23;;;;;2007/0876?
127;29/11/2008;Sevilla F. C.;Sánchez Pizjuán;3-0133?;2;78, 90+2;z, z;, Hleb;-;-;Liga BBVA 2008/09 Jornada 13;;;;;2008/09117?
185;05/01/2010;Sevilla F. C.;Camp Nou;1-2170?;;;-;;-;-;Copa del Rey 2009/10 Octavos Ida;;;;;2009/10156?
187;13/01/2010;Sevilla F. C.;Sánchez Pizjuán;1-0172?;;;-;;-;-;Copa del Rey 2009/10 Octavos Vuelta;;;;;2009/10156?
188;16/01/2010;Sevilla F. C.;Camp Nou;4-0173?;2 (3-0, 4-0);85, 90+1;z (2);Dani Alves, Abidal;-;-;Liga BBVA 2009/10 Jornada 18;;;;;2009/10156?
213;08/05/2010;Sevilla F. C.;Sánchez Pizjuán;3-2186?;1 (1-0);5;z;Maxwell;-;-;Liga BBVA 2009/10 Jornada 37;;;;;2009/10156?
215;14/08/2010;Sevilla F. C.;Sánchez Pizjuán;1-3187?;;;-;;-;-;Supercopa de España 2010 Ida; 52';;;;2010/11188?
216;21/08/2010;Sevilla F. C.;Camp Nou;4-0189?;3 (2-0, 3-0, 4-0);24, 43, 90;z, d, z;;-;-;Supercopa de España 2010 Vuelta;;;;;2010/11188?
226;30/10/2010;Sevilla F. C.;Camp Nou;5-0196?;2 (1-0, 4-0);4, 64;r, z;;1;24;Liga BBVA 2010/11 Jornada 9;;;Villa;;2010/11188?
255;13/03/2011;Sevilla F. C.;Sànchez Pizjuán;1-1209?;;;-;;-;-;Liga BBVA 2010/11 Jornada 28;;;;;2010/11188?
283;22/10/2011;Sevilla F. C.;Camp Nou;0-0228?;-;-;-;-;-;-;Liga BBVA 2011/12 Jornada 9;;;-;;2011/12218?
313;17/03/2012;Sevilla F. C.;Sánchez Pizjuán;2-0252?;1 (2-0);25;z;Iniesta;-;-;Liga BBVA 2011/12 Jornada 28;;;;;2011/12218?
338;29/09/2012;Sevilla F. C.;Sánchez Pizjuán;3-2269?;;;-;;2 (2-2, 3-2);89, 90+3;Liga BBVA 2012/13 Jornada 6;;;Fábregas, Villa;;2012/13263?
367;23/02/2013;Sevilla F. C.;Camp Nou;2-1284?;1 (2-1);60;z;Tello;-;-;Liga BBVA 2012/13 Jornada 25;;;;;2012/13263?
384;14/09/2013;Sevilla F. C.;Camp Nou;3-2298?;1 (2-0);75;z;Neymar;-;-;Liga BBVA 2013/14 Jornada 4;-;;-;90;2013/14294?
404;09/02/2014;Sevilla F. C.;Sánchez Pizjuán;4-1318?;2 (2-1, 3-1);44, 56;z (2);Pedro, Iniesta;1 (1-1);34;Liga BBVA 2013/14 Jornada 23;-;;Alexis;90;2013/14294?
441;19/11/2014;Sevilla F. C.;Camp Nou;5-1356?;3 (1-0, 4-1, 5-1);21, 72, 78;TL,Z,Z;Neymar (2);-;-;Liga BBVA 2014/15 Jornada 12;-;;-;90;2014/15341?
469;11/04/2015;Sevilla F. C.;Sánchez Pizjuan;2-2378?;1 (1-0);15;z;Neymar;;-;Liga BBVA 2014/15 Jornada 31;;;;90;2014/15341?
483;11/08/2015;Sevilla F. C.;Borís Palchadze;5-4390?;2 (1-1, 2-1);7, 15;TL, TL;;-;-;Supercopa de Europa 2015;;;-;120;2015/16391?
515;28/02/2016;Sevilla F. C.;Camp Nou;2-1413?;1 (1-1);31;TL;;;-;Liga BBVA 2015/16 Jornada 26;;;;90;2015/16391?
531;22/05/2016;Sevilla F. C.;Vicente Calderón;2-0422?;-;;;;2;97, 120+2;Copa del Rey 2015/16 Final;;;Jordi Alba, Neymar;120;2015/16391?
532;14/08/2016;Sevilla F. C.;Sánchez Pizjuán;2-0423?;;;;;1;81;Supercopa de España 2016 Ida;;;Munir;90;2016/17424?
533;16/08/2016;Sevilla F. C.;Camp Nou;3-0425?;1;55 (3-0);c;Lucas Digne;1;10;Supercopa de España 2016 Vuelta;;;Arda Turan;90;2016/17424?
545;06/11/2016;Sevilla F. C.;Sánchez Pizjuán;2-1435?;1 (1-1);43;z;Neymar;1;61;LaLiga Santander 2016/17 Jornada 11;;;Luis Suárez;90;2016/17424?
572;05/04/2017;Sevilla F. C.;Camp Nou;3-0462?;2 (2-0, 3-0);28, 33;d, z;Luis Suárez;;;LaLiga Santander 2016/17 Jornada 30;;;;90;2016/17424?
600;04/11/2017;Sevilla F. C.;Camp Nou;2-1488?;;;;;;;LaLiga Santander 2017-18 Jornada 11; 90+4';;;90;2017/18475?
627;31/03/2018;Sevilla F. C.;Sánchez Pizjuán;2-2503?;1 (2-2);89;z;Coutinho;;;LaLiga Santander 2017-18 Jornada 30;;;;32;2017/18475?
633;21/04/2018;Sevilla F. C.;Metropolitano;5-0508?;1 (2-0);31;z;Jordi Alba;2;40, 52;Copa del Rey 2017-18 Final;;;Luis Suárez, Iniesta;90;2017/18475?
638;12/08/2018;Sevilla F. C.;Tánger;2-1511?;;;;-;1;78;Supercopa de España 2018;;;Dembélé;;2018/19512?
649;20/10/2018;Sevilla F. C.;Camp Nou;4-2519?;1 (2-0);12;z;Luis Suárez;1 (1-0);2;LaLiga Santander 2018-19 Jornada 9; 26 Dembélé';;Coutinho;;2018/19512?
663;30/01/2019;Sevilla F. C.;Camp Nou;6-1525?;1 (6-1);90+2;z;Jordi Alba;1;54;Copa del Rey 2018-19 Cuartos Vuelta;-;;;90;2018/19512?
669;23/02/2019;Sevilla F. C.;Sánchez Pizjuán;4-2531?;3 (1-1, 2-2, 3-2);26, 67, 85;z, d, z;Rakiti?, Dembélé;1;90+3;LaLiga Santander 2018-19 Jornada 25;-;;Luis Suárez;90;2018/19512?
692;06/10/2019;Sevilla F. C.;Camp Nou;4-0548?;1 (4-0);78;TL;-;-;-;LaLiga Santander 2019-20 Jornada 8;-;;-;90;2019/20544?
721;19/06/2020;Sevilla F. C.;Sánchez Pizjuán;0-0572?;;;;;;;LaLiga Santander 2019-20 Jornada 30;;;;;2019/20544?
734;04/10/2020;Sevilla F. C.;Camp Nou;1-1580?;;;;;;;LaLiga Santander 2020-21 Jornada 5;;;;90;2020/21578?
758;10.2.2021;Sevilla F. C.;Sánchez Pizjuán;0-2593?;;;;;;;Copa del Rey 2020-21 Semifinales Ida;;;;;2020/21578?
763;27.2.2021;Sevilla F. C.;Sánchez Pizjuán;2-0598?;1 (2-0);85;d;;1 (1-0);29;LaLiga Santander 2020-21 Jornada 25; 42;;Dembélé;;2020/21578?
764;3.3.2021;Sevilla F. C.;Camp Nou;3-0599?;;;;;;;Copa del Rey 2020-21 Semifinales Vuelta;;;;120;2020/21578?
5;07/12/2004;Shakhtar Donetsk;RSK Olympiyskiy;0-27?;-;-;-;-;-;-;Liga de Campeones 2004/05 J6 FG;-;;-;90;2004/053?
117;01/10/2008;Shakhtar Donetsk;RSK Olympiyskiy;2-1123?;2;87, 90+4;r, z;Xavi, Bojan;-;-;Liga de Campeones 2008/09 J2 FG; 59';;;;2008/09117?
163;28/08/2009;Shakhtar Donetsk;Louis II;1-0157?;;;-;;1;115;Supercopa de Europa 2009;;;Pedro;;2009/10156?
258;06/04/2011;Shakhtar Donetsk;Camp Nou;05-ene;;;-;;1;60;Liga de Campeones 2010/11 CF Ida;;;;;2010/11188?
260;12/04/2011;Shakhtar Donetsk;RSK Olympiyskiy;1-0210?;1;43;;;-;-;Liga de Campeones 2010/11 CF Vuelta;;;;;2010/11188?
694;23/10/2019;Slavia Praga;Eden Arena;2-1549?;1 (1-0);3;z;Arthur;-;-;Liga de Campeones 2019-20 FG J3;-;;-;90;2019/20544?
697;05/11/2019;Slavia Praga;Camp Nou;0-0;-;-;-;-;-;-;Liga de Campeones 2019-20 FG J4;;;-;90;2019/20544?
336;19/09/2012;Spartak de Moscú;Camp Nou;3-2268?;2 (2-2, 3-2);71, 80;z, c;Tello, Alexis;-;-;Liga de Campeones 2012/13 J1 FG;;;;;2012/13263?
348;19/11/2012;Spartak de Moscú;Luzhniki;3-0276?;2 (2-0, 3-0);27, 39;R, z;Pedro;-;-;Liga de Campeones 2012/13 J5 FG;;;;;2012/13263?
114;21/09/2008;Sporting de Gijón;El Molinón;6-1120?;2 (5-1, 6-1);85, 90;z, c;;1;70;Liga BBVA 2008/09 Jornada 3;;;;;2008/09117?
280;02/10/2011;Sporting de Gijón;El Molinón;1-0;;;-;;-;-;Liga BBVA 2011/12 Jornada 7;;;;;2011/12218?
512;17/02/2016;Sporting de Gijón;El Molinón;03-ene;2 (1-0, 2-1);25, 31;z (2);Luis Suárez (2);;-;Liga BBVA 2015/16 Jornada 16;;;;90;2015/16391?
527;23/04/2016;Sporting de Gijón;Camp Nou;06-ene;1 (1-0);12;r;;1;88;Liga BBVA 2015/16 Jornada 35;;;Luis Suárez;90;2015/16391?
567;01/03/2017;Sporting de Gijón;Camp Nou;6-1457?;1 (1-0);9;c;Mascherano;1;49;LaLiga Santander 2016/17 Jornada 25;;;;61;2016/17424?
113;16/09/2008;Sporting de Lisboa;Camp Nou;3-1119?;;;-;;-;-;Liga de Campeones 2008/09 J1 FG;;;;;2008/09117?
126;26/11/2008;Sporting de Lisboa;José Alvalade;5-2132?;1;49;z;;1 (1-0);14;Liga de Campeones 2008/09 J5 FG; 56';;Henry;;2008/09117?
593;27/09/2017;Sporting de Lisboa;José Alvalade;1-0;;;;;;;Liga de Campeones 2017-18 FG J2;;;;90;2017/18475?
605;05/12/2017;Sporting de Lisboa;Camp Nou;2-0;;;;;;;Liga de Campeones 2017-18 FG J6; 60'Al. Vidal;;;40;2017/18475?
140;08/02/2009;Sporting Gijón;Camp Nou;3-1142?;;;-;;2;40, 66;Liga BBVA 2008/09 Jornada 22;;;Dani Alves;;2008/09117?
190;30/01/2010;Sporting Gijón;El Molinón;1-0;;;-;;-;-;Liga BBVA 2009/10 Jornada 20;;;;;2009/10156?
248;12/02/2011;Sporting Gijón;El Molinón;01-ene;;;-;;1;80;Liga BBVA 2010/11 Jornada 23;;;Villa;;2010/11188?
821;10.9.2022;Stade Brestois;Parc des Princes;1-0;;;;;1;30;Ligue 1 2022-23 Jornada 7;;;;;2022-23609?
843;11.3.2023;Stade Brestois;Francis Le-Blé;02-ene;;;;;;;Ligue 1 2022-23 Jornada 27;;;;;2022-23609?
779;29.8.2021;Stade de Reims;Auguste Delaune;2-0;;;;-;-;-;Ligue 1 2021-22 Jornada 3;;;-;90;2021-22
795;23.1.2022;Stade de Reims;Parc des Princes;4-0;;;;;1 (3-0);66;Ligue 1 2021-22 Jornada 22;;;Verratti;27;2021-22
834;29.1.2023;Stade de Reims;Parc des Princes;01-ene;;;;;;;Ligue 1 2022-23 Jornada 20;;;;;2022-23609?
798;11.2.2022;Stade Rennes;Parc des Princes;1-0;;;;;;;Ligue 1 2021-22 Jornada 24;;;Mbappé;90;2021-22
833;15.1.2023;Stade Rennes;Roazhon Park;0-1;;;;;;;Ligue 1 2022-23 Jornada 19;;;;;2022-23609?
844;19.3.2023;Stade Rennes;Parc des Princes;0-2;;;;;;;Ligue 1 2022-23 Jornada 28;;;;;2022-23609?
865;20.9.2023;Toronto;DRV PNK Stadium;4-0;;;;;;;MLS 2023 J30;;;;;2023610?
647;03/10/2018;Tottenham Hotspur;Wembley;4-2517?;2 (3-1, 4-2);56, 90;z (2);Jordi Alba (2);;;Liga de Campeones 2018-19 FG J2;;;;;2018/19512?
655;11/12/2018;Tottenham Hotspur;Camp Nou;01-ene;;;;;;;Liga de Campeones 2018-19 FG J6; 63 Munir';;;;2018/19512?
818;31.8.2022;Toulouse F. C.;Stade de Toulouse;2-0;;;;;2;;Ligue 1 2022-23 Jornada 5;;;;;2022-23609?
836;4.2.2023;Toulouse F.C.;Parc des Princes;02-ene;1;;;Achraf Hakimi;;;Ligue 1 2022-23 Jornada 22;;;;;2022-23609?
 810;8.5.2022;Troyes A.C.;Parc des Princes;02-feb;;;;;;;Ligue 1 2021-22 Jornada 36;;;;;2021-22
829;30.10.2022;Troyes A.C.;Parc des Princes;04-mar;1;;;Sergio Ramos;1;;Ligue 1 2022-23 Jornada 13;;;;;2022-23609?
492;26/09/2015;U. D. Las Palmas;Camp Nou;02-ene;-;-;;;;-;Liga BBVA 2015/16 Jornada 6; 10' Munir;;;10;2015/16391?
513;20/02/2016;U. D. Las Palmas;Gran Canaria;02-ene;-;-;;;;-;Liga BBVA 2015/16 Jornada 25;;;;90;2015/16391?
581;14/05/2017;U. D. Las Palmas;Gran Canaria;4-1471?;;;;;;;LaLiga Santander 2016/17 Jornada 37;;;;90;2016/17424?
594;01/10/2017;U. D. Las Palmas;Camp Nou;3-0482?;2 (2-0, 3-0);70, 77;z (2);Denis Suárez, Luis Suárez;1;49;LaLiga Santander 2017-18 Jornada 7;;;Busquets;90;2017/18475?
623;01/03/2018;U. D. Las Palmas;Gran Canaria;01-ene;1;21;TL;;;;LaLiga Santander 2017-18 Jornada 26;;;;90;2017/18475?
81;28/10/2007;U.D. Almería;Camp Nou;2-086?;1 (2-0);81;p;;-;-;La Liga 2007/08 Jornada 9;  ?';;;;2007/0876?
120;25/10/2008;U.D. Almería;Camp Nou;5-0126?;;;-;;2;13, 24;Liga BBVA 2008/09 Jornada 8;;;;;2008/09117?
148;15/03/2009;U.D. Almería;Juegos Mediterráneos;2-0;;;-;;-;-;Liga BBVA 2008/09 Jornada 27;;;;;2008/09117?
170;03/10/2009;U.D. Almería;Camp Nou;1-0;;;-;;-;-;Liga BBVA 2009/10 Jornada 6;;;;;2009/10156?
196;06/03/2010;U.D. Almería;Juegos Mediterráneos;02-feb;2;42, 66;z;;-;-;Liga BBVA 2009/10 Jornada 25;;;;;2009/10156?
231;20/11/2010;U.D. Almería;Juegos Mediterráneos;8-0198?;3 (1-0, 5-0, 7-0);17, 37, 67;z, r;Villa;2;62, 73;Liga BBVA 2010/11 Jornada 12;;;;;2010/11188?
245;26/01/2011;U.D. Almería;Camp Nou;5-0;2 (1-0, 3-0);9, 16;z (2);Pedro, Iniesta;1;88;Copa del Rey 2010/11 Semifinales Ida;;;;;2010/11188?
259;09/04/2011;U.D. Almería;Camp Nou;03-ene;2 (1-1, 3-1);53, 90+2;p, v;;1;64;Liga BBVA 2010/11 Jornada 31;;;;;2010/11188?
388;28/09/2013;U.D. Almería;Juegos Mediterráneos;2-0302?;1 (1-0);21;z;Pedro;-;-;Liga BBVA 2013/14 Jornada 7;  28 Xavi';;;28;2013/14294?
409;02/03/2014;U.D. Almería;Camp Nou;4-1323?;1 (2-0);24;TL;-;-;-;Liga BBVA 2013/14 Jornada 26;-;;-;90;2013/14294?
440;08/11/2014;U.D. Almería;Juegos Mediterráneos;2-1355?;-;-;;;-;-;Liga BBVA 2014/15 Jornada 11;-;;-;90;2014/15341?
468;08/04/2015;U.D. Almería;Juegos Mediterráneos;4-0377?;1 (1-0);33;z;;;-;Liga BBVA 2014/15 Jornada 30;;;;90;2014/15341?
555;14/01/2017;U.D. Las Palmas;Camp Nou;5-0445?;1 (2-0);52;r;;;;LaLiga Santander 2016/17 Jornada 18;;;;90;2016/17424?
3;27/10/2004;U.D.A. Gramenet;Santa Coloma;0-15?;-;-;;-;-;-;Copa del Rey 2004/05 1/32; 73' Eto'o;;-;72;2004/053?
11;27/09/2005;Udinese Calcio;Camp Nou;4-114?;-;-;-;-;-;-;Liga de Campeones 2005/06 J2 FG; 70' Ezquerro;;-;69;2005/0613?
41;24/09/2006;Valencia C. F.;Camp Nou;1-145?;-;-;-;-;-;-;La Liga 2006/07 Jornada 4;;;;84;2006/0739?
51;18/02/2007;Valencia C. F.;Mestalla;1-255?;;;;-;-;-;La Liga 2006/07 Jornada 23;  ?';Ludovic Butelle;;35;2006/0739?
90;15/12/2007;Valencia C. F.;Mestalla;3-095?;;;-;;2 (1-0, 2-0);13, 27;La Liga 2007/08 Jornada 16;;;;;2007/0876?
100;27/02/2008;Valencia C. F.;Camp Nou;1-1105?;;;-;;-;-;Copa del Rey 2007/08 Semifinales Ida;;;;;2007/0876?
107;04/05/2008;Valencia C. F.;Camp Nou;6-0112?;1 (1-0);6;p;;1 (4-0);58;La Liga 2007/08 Jornada 35;;;;;2007/0876?
128;06/12/2008;Valencia C. F.;Camp Nou;4-0134?;;;-;;-;-;Liga BBVA 2008/09 Jornada 14; 81';;;;2008/09117?
155;25/04/2009;Valencia C. F.;Mestalla;2-2149?;1 (1-0);24;z;Iniesta;-;-;Liga BBVA 2008/09 Jornada 33;;;;;2008/09117?
171;17/10/2009;Valencia C. F.;Mestalla;0-0162?;-;-;-;-;-;-;Liga BBVA 2009/10 Jornada 7;;;-;;2009/10156?
197;14/03/2010;Valencia C. F.;Camp Nou;3-0177?;3;56, 81, 83;z (2), d;Xavi, Henry (2);-;-;Liga BBVA 2009/10 Jornada 26; 88';;;;2009/10156?
223;16/10/2010;Valencia C. F.;Camp Nou;2-1193?;;;-;;-;-;Liga BBVA 2010/11 Jornada 7;;;;;2010/11188?
252;02/03/2011;Valencia C. F.;Mestalla;1-0206?;1;77;z;Adriano;-;-;Liga BBVA 2010/11 Jornada 26;;;;;2010/11188?
277;21/09/2011;Valencia C. F.;Mestalla;2-2224?;;;-;;2;14, 77;Liga BBVA 2011/12 Jornada 5;;;Pedro, Fábregas;;2011/12218?
304;01/02/2012;Valencia C. F.;Mestalla;1-1244?;;;-;;-;-;Copa del Rey 2011/12 Semifinales Ida;;;;;2011/12218?
306;08/02/2012;Valencia C. F.;Camp Nou;2-0246?;;;-;;1;16;Copa del Rey 2011/12 Semifinales Vuelta;;;;;2011/12218?
309;19/02/2012;Valencia C. F.;Camp Nou;5-1249?;4 (1-1, 2-1, 3-1, 4-1);22, 27, 76, 86;z r, z;Busquets;-;-;Liga BBVA 2011/12 Jornada 24;;;;;2011/12218?
334;02/09/2012;Valencia C. F.;Camp Nou;1-0267?;;;-;;1;23;Liga BBVA 2012/13 Jornada 3;;;Adriano;;2012/13263?
363;05/02/2013;Valencia C. F.;Mestalla;1-1282?;1;39;p;;-;-;Liga BBVA 2012/13 Jornada 22;;;;;2012/13263?
383;01/09/2013;Valencia C. F.;Mestalla;3-2297?;3 (1-0, 2-0, 3-0);11, 39, 41;z, d, z;Fábregas (2), Neymar;-;-;Liga BBVA 2013/14 Jornada 3;-;;-;90;2013/14294?
402;01/02/2014;Valencia C. F.;Camp Nou;2-3316?;1 (2-2);54;p;-;1 (1-0);6;Liga BBVA 2013/14 Jornada 22;-;;Alexis;90;2013/14294?
443;30/11/2014;Valencia C. F.;Mestalla;1-0358?;-;-;-;-;-;-;Liga BBVA 2014/15 Jornada 13;;;-;90;2014/15341?
471;18/04/2015;Valencia C. F.;Camp Nou;2-0380?;1 (2-0);90;r;;1 (1-0);1;Liga BBVA 2014/15 Jornada 32;;;Luis Suárez;90;2014/15341?
496;05/12/2015;Valencia C. F.;Mestalla;1-1402?;-;-;;;1 (1-0);59;Liga BBVA 2015/16 Jornada 14;;;Luis Suarez;90;2015/16391?
509;05/02/2016;Valencia C. F.;Camp Nou;7-0410?;3 (3-0, 4-0, 5-0);29, 58, 74;z (3);Neymar, Luis Suárez;;-;Copa del Rey 2015/16 Semifinales Ida;;;;90;2015/16391?
525;17/04/2016;Valencia C. F.;Camp Nou;1-2420?;1;63;d;Jordi Alba;;-;Liga BBVA 2015/16 Jornada 33;;;;90;2015/16391?
542;22/10/2016;Valencia C. F.;Mestalla;3-2432?;2 (1-0, 3-2);22, 90+4;z, p;Rakitic;;;LaLiga Santander 2016/17 Jornada 9;;;;90;2016/17424?
571;19/03/2017;Valencia C. F.;Camp Nou;4-2461?;2 (2-1, 3-2);53, 45;p, d;Mascherano;;;LaLiga Santander 2016/17 Jornada 28;;;;90;2016/17424?
603;26/11/2017;Valencia C. F.;Mestalla;1-1490?;;;;;1;82;LaLiga Santander 2017-18 Jornada 13;;;Jordi Alba;90;2017/18475?
616;01/02/2018;Valencia C. F.;Camp Nou;1-0496?;;;;;1;67;Copa del Rey 2017-18 Semifinales Ida;;;Luis Suárez;90;2017/18475?
618;08/02/2018;Valencia C. F.;Mestalla;2-0498?;;;;;;;Copa del Rey 2017-18 Semifinales Vuelta;;;;90;2017/18475?
631;14/04/2018;Valencia C. F.;Camp Nou;2-1507?;;;;;;;LaLiga Santander 2017-18 Jornada 32;;;;90;2017/18475?
648;07/10/2018;Valencia C. F.;Mestalla;1-1518?;1 (1-1);23;z;Luis Suárez;;;LaLiga Santander 2018-19 Jornada 8;;;;;2018/19512?
664;02/02/2019;Valencia C. F.;Camp Nou;2-2526?;2 (1-2, 2-2);39, 64;p, z;Arturo Vidal;-;-;LaLiga Santander 2018-19 Jornada 22;-;;-;90;2018/19512?
687;25/05/2019;Valencia C. F.;Benito Villamarín;1-2542?;1 (1-2);73;r;-;-;-;Copa del Rey 2018-19 Final;-;;-;90;2018/19512?
709;25/01/2020;Valencia C. F.;Mestalla;0-2561?;-;-;-;-;-;-;LaLiga Santander 2019-20 Jornada 21;-;Jaume Doménech;-;90;2019/20544?
748;19.12.2020;Valencia C. F.;Camp Nou;2-2587?;1 (1-1);45+4;c;;-;-;LaLiga Santander 2020-21 Jornada 14;;;;90;2020/21578?
775;2.5.2021;Valencia C. F.;Mestalla;3-2606?;2 (1-1, 3-1);57, 69;zR, TL;;;;LaLiga Santander 2020-21 Jornada 34;;;;;2020/21578?
77;02/10/2007;VfB Stuttgart;Mercedes-Benz;2-082?;1 (2-0);67;d;Henry;-;-;Liga de Campeones 2007/08 J2 FG;;;;;2007/0876?
194;23/02/2010;VfB Stuttgart;Mercedes-Benz;01-ene;;;-;;-;-;Liga de Campeones 2009/10 1/8 Ida;;;;;2009/10156?
198;17/03/2010;VfB Stuttgart;Camp Nou;4-0178?;2 (1-0, 3-0);13, 60;z;Dani Alves;-;-;Liga de Campeones 2009/10 1/8 Vuelta;;;;;2009/10156?
282;19/10/2011;Viktoria Plzen;Camp Nou;2-0227?;;;;;1;10;Liga de Campeones 2011/12 J3 FG;;;Iniesta;;2011/12218?
286;01/11/2011;Viktoria Plzen;Eden Arena;4-0230?;3 (1-0, 2-0, 4-0);24, 45, 90+2;p, z (2);Adriano, Piqué;-;-;Liga de Campeones 2011/12 J4 FG;;;;;2011/12218?
20;04/12/2005;Villarreal C.F.;El Madrigal;2-023?;-;-;-;-;-;-;La Liga 2005/06 Jornada 14; 80' H Larsson;;-;80;2005/0613?
63;22/04/2007;Villarreal C.F.;El Madrigal;0-267?;-;-;-;-;-;-;La Liga 2006/07 Jornada 31;;Diego López;-;90;2006/0739?
79;20/10/2007;Villarreal C.F.;El Madrigal;1-384?;-;-;-;;1 (1-2);24;La Liga 2007/08 Jornada 8;;;Bojan;;2007/0876?
92;24/01/2008;Villarreal C.F.;El Madrigal;0-097?;-;-;-;-;-;-;Copa del Rey 2007/08 Cuartos Ida;  45';;-;;2007/0876?
94;31/01/2008;Villarreal C.F.;Camp Nou;1-099?;;;-;;-;-;Copa del Rey 2007/08 Cuartos Vuelta;;;;;2007/0876?
130;21/12/2008;Villarreal C.F.;El Madrigal;2-1136?;;;-;;-;-;Liga BBVA 2008/09 Jornada 16;;;;;2008/09117?
159;10/05/2009;Villarreal C.F.;Camp Nou;03-mar;;;-;;-;-;Liga BBVA 2008/09 Jornada 35; 89';;;;2008/09117?
211;01/05/2010;Villarreal C.F.;El Madrigal;04-ene;2 (1-0,);19, 88;z (2);Xavi, Dani Alves;-;-;Liga BBVA 2009/10 Jornada 35; 89';;;;2009/10156?
230;13/11/2010;Villarreal C.F.;Camp Nou;03-ene;2 (2-1, 3-1);58, 83;d, z;Pedro (2);-;-;Liga BBVA 2010/11 Jornada 11;;;;;2010/11188?
257;02/04/2011;Villarreal C.F.;El Madrigal;1-0;;;-;;-;-;Liga BBVA 2010/11 Jornada 30; 52';;;;2010/11188?
273;29/08/2011;Villarreal C.F.;Camp Nou;5-0;2 (4-0, 5-0);52, 75;d, z;Iniesta, Thiago;1;45;Liga BBVA 2011/12 Jornada 2;;;Fàbregas;;2011/12218?
303;28/01/2012;Villarreal C.F.;El Madrigal;0-0243?;-;-;-;-;-;-;Liga BBVA 2011/12 Jornada 21;;;-;;2011/12218?
422;27/04/2014;Villarreal C.F.;El Madrigal;3-2336?;1 (3-2);83;d;Fábregas;-;-;Liga BBVA 2013/14 Jornada 35;-;;-;90;2013/14294?
427;31/08/2014;Villarreal C.F.;El Madrigal;1-0342?;-;-;-;-;1;81;Liga BBVA 2014/15 Jornada 2;;;Sandro;90;2014/15341?
